id	name
204669	Acidobacterium sp. Ellin345
62977	Acinetobacter sp. ADP1
272557	Aeropyrum pernix
176299	Agrobacterium tumefaciens
240292	Anabaena variabilis
290397	Anaeromyxobacter dehalogenans
234826	Anaplasma marginale
212042	Anaplasma phagocytophilum
7165	Anopheles gambiae
7460	Apis mellifera
224324	Aquifex aeolicus
3702	Arabidopsis thaliana
224325	Archaeoglobus fulgidus
5085	Aspergillus fumigatus
322098	Aster yellows phytoplasma
76114	Azoarcus sp. EbN1
261594	Bacillus anthracis 0581
198094	Bacillus anthracis Porton
260799	Bacillus anthracis Sterne
222523	Bacillus cereus 10987
226900	Bacillus cereus 14579
288681	Bacillus cereus E33L
66692	Bacillus clausii
272558	Bacillus halodurans
279010	Bacillus licheniformis
224308	Bacillus subtilis
281309	Bacillus thuringiensis
272559	Bacteroides fragilis 9343
295405	Bacteroides fragilis YCH46
226186	Bacteroides thetaiotaomicron
38323	Bartonella henselae
283165	Bartonella quintana
374463	Baumannia cicadellinicola
959	Bdellovibrio bacteriovorus
206672	Bifidobacterium longum
203907	Blochmannia floridanus
291272	Blochmannia pennsylvanicus
518	Bordetella bronchiseptica
257311	Bordetella parapertussis 12822
520	Bordetella pertussis
224326	Borrelia burgdorferi
290434	Borrelia garinii
9913	Bos taurus
224911	Bradyrhizobium japonicum
262698	Brucella abortus
224914	Brucella melitensis 16M
235	Brucella melitensis abortus
204722	Brucella suis
107806	Buchnera aphidicola APS
224915	Buchnera aphidicola Bp
198804	Buchnera aphidicola Sg
243160	Burkholderia mallei
320372	Burkholderia pseudomallei 1710b
272560	Burkholderia pseudomallei K96243
269483	Burkholderia sp. 383
271848	Burkholderia thailandensis
266265	Burkholderia xenovorans
6239	Caenorhabditis elegans
192222	Campylobacter jejuni 11168
195099	Campylobacter jejuni RM1221
5478	Candida glabrata
9615	Canis familiaris
246194	Carboxydothermus hydrogenoform.
190650	Caulobacter crescentus
243161	Chlamydia muridarum
315277	Chlamydia trachomatis A/HAR-13
272561	Chlamydia trachomatis D/UW-3/CX
218497	Chlamydophila abortus
227941	Chlamydophila caviae
264202	Chlamydophila felis
115711	Chlamydophila pneum. AR39
115713	Chlamydophila pneum. CWL029
138677	Chlamydophila pneum. J138
182082	Chlamydophila pneum. TW-183
340177	Chlorobium chlorochromatii
194439	Chlorobium tepidum
243365	Chromobacterium violaceum
290398	Chromohalobacter salexigens
7719	Ciona intestinalis
272562	Clostridium acetobutylicum
195102	Clostridium perfringens
212717	Clostridium tetani
167879	Colwellia psychrerythraea
257309	Corynebacterium diphtheriae
196164	Corynebacterium efficiens
196627	Corynebacterium glutamicum
306537	Corynebacterium jeikeium
227377	Coxiella burnetii
237895	Cryptosporidium hominis
45157	Cyanidioschyzon merolae
331114	Cyanobacterium Yellowstone A
331115	Cyanobacterium Yellowstone B
7955	Danio rerio
4959	Debaryomyces hansenii
159087	Dechloromonas aromatica
243164	Dehalococcoides ethenogenes
255470	Dehalococcoides sp. CBDB1
319795	Deinococcus geothermalis
243230	Deinococcus radiodurans
138119	Desulfitobacterium hafniense
177439	Desulfotalea psychrophila
207559	Desulfovibrio desulfuricans
882	Desulfovibrio vulgaris
44689	Dictyostelium discoideum
7227	Drosophila melanogaster
269484	Ehrlichia canis
302409	Ehrlichia ruminantium Gardel
254945	Ehrlichia ruminantium Welgev.
6035	Encephalitozoon cuniculi
226185	Enterococcus faecalis
33169	Eremothecium gossypii
218491	Erwinia carotovora
314225	Erythrobacter litoralis
199310	Escherichia coli CFT073
83333	Escherichia coli K12
83334	Escherichia coli O157H7
155864	Escherichia coli O157H7 EDL933
217992	Escherichia coli O6
364106	Escherichia coli UTI89
316407	Escherichia coli W3110
5207	Filobasidiella neoformans
177416	Francisella tularensis SCHU S4
119857	Francisella tularensis holarctica
106370	Frankia sp. CcI3
190304	Fusobacterium nucleatum
